Team,Mspe
Arizona Diamondbacks,0.0900
Atlanta Braves,0.0518
Baltimore Orioles,0.0527
Boston Red Sox,0.0662
Chicago Cubs,0.0765
Chicago White Sox,0.0584
Cincinnati Reds,0.0586
Cleveland Indians,0.0685
Colorado Rockies,0.0581
Detroit Tigers,0.0592
Houston Astros,0.0736
Kansas City Royals,0.0640
Los Angeles Angels,0.0684
Los Angeles Dodgers,0.0529
Miami Marlins,0.0523
Milwaukee Brewers,0.0574
Minnesota Twins,0.0740
New York Mets,0.0586
New York Yankees,0.0343
Oakland Athletics,0.0579
Philadelphia Phillies,0.0507
Pittsburgh Pirates,0.0590
San Diego Padres,0.0581
San Francisco Giants,0.0528
Seattle Mariners,0.0635
St. Louis Cardinals,0.0461
Tampa Bay Rays,0.1056
Texas Rangers,0.0641
Toronto Blue Jays,0.0457
Washington Nationals,0.0649